Population,Sample,Bioproject,Biosample,Breed,Alias,Sex,Reference,SFS,Path
EUD,LR24M21,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M21_rh.bam
EUD,LR24M22,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M22_rh.bam
EUD,LR30F02,PRJEB1683,SAMEA1557436,Landrace3,LR30F02,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LR30F02_rh.bam
EUD,LR30F03,PRJEB9922,SAMEA3497850,Landrace3,LR30F03_Landrace,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LR30F03_rh.bam
EUD,LR30F04,PRJEB9922,SAMEA3497851,Landrace3,LR30F04_Landrace,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LR30F04_Landrace_rh.bam
EUD,LS01F04,PRJEB9922,SAMEA3497852,Linderodsvin,LS01F04,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LS01F04_Linderodsvin_rh.bam
EUD,LW22F01,PRJEB1683,SAMEA1557412,Large_White_1,LW22F01,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F01_rh.bam
EUD,LW22F02,PRJEB1683,SAMEA1557415,Large_White_1,LW22F02,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F02_rh.bam
EUD,LW22F03,PRJEB1683,SAMEA1557431,Large_White_1,LW22F03,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F03_rh.bam
EUD,LW22F04,PRJEB1683,SAMEA1557413,Large_White_1,LW22F04,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F04_rh.bam
EUD,LW22F06,PRJEB1683,SAMEA1557402,Large_White_1,LW22F06,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F06_rh.bam
EUD,LW22F07,PRJEB1683,SAMEA1557389,Large_White_1,LW22F07,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW22F07_rh.bam
EUD,LW22F08,PRJEB30282,,Large_White_5,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW22F08_LargeWhite_rh.bam
EUD,LW22F09,PRJEB30282,,Large_White_5,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW22F09_LargeWhite_rh.bam
EUD,LW22M04,PRJEB9922,SAMEA3497853,Large_White_1,LW22M04_LargeWhite,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LW22M04_rh.bam
EUD,LW36F01,PRJEB1683,SAMEA1557406,Large_White_2,LW36F01,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F01_rh.bam
EUD,LW36F02,PRJEB1683,SAMEA1557404,Large_White_2,LW36F02,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F02_rh.bam
EUD,LW36F03,PRJEB1683,SAMEA1557383,Large_White_2,LW36F03,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F03_rh.bam
EUD,LW36F04,PRJEB1683,SAMEA1557425,Large_White_2,LW36F04,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F04_rh.bam
EUD,LW36F05,PRJEB1683,SAMEA1557427,Large_White_2,LW36F05,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F05_rh.bam
EUD,LW36F06,PRJEB1683,SAMEA1557399,Large_White_2,LW36F06,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LW36F06_rh.bam
EUD,LW37F01,PRJEB9922,SAMEA3497789,Large_White,LW37F01,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LW37F01_rh.bam
EUD,LW37M01,PRJEB30282,,Large_White_5,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW37M01_rh.bam
EUD,LW38M02,PRJEB9922,SAMEA3497790,Large_White,LW38M02,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LW38M02_rh.bam
EUD,LW38MF02,PRJEB30282,,Large_White_5,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW38MF02_rh.bam
EUD,LW39M01,PRJEB30282,,Large_White_5,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M01_rh.bam
EUD,LW39M02,PRJEB30282,,Large_White_5,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M02_rh.bam
EUD,LW39M03,PRJEB30282,,Large_White_5,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M03_rh.bam
EUD,LW39M04,PRJEB30282,,Large_White_4,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M04_rh.bam
EUD,LW39M05,PRJEB30282,,Large_White_3,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M05_rh.bam
EUD,LW39M07,PRJEB30282,,Large_White_1,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M07_rh.bam
EUD,LW39M08,PRJEB30282,,Large_White_1,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LW39M08_rh.bam
EUD,MA01F18,PRJEB9922,SAMEA3497854,Mangalica,MA01F18,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MA01F18_Mangalica_rh.bam
