Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA313	680	465214	0.14616929	0.022355303	29	0.6912	29.35714286	18.20197874	62.90546839	12.32066471	9	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA313_trim_adRm.fq.gz
AA315	518	536154	0.096614033	0.044017204	93	0.4073	34.16286645	19.76197053	62.78801664	12.34118174	11	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA315_trim_adRm.fq.gz
AA316	330	88291	0.37376403	0.178953687	81	0.4091	44	19.16477654	59.53527837	12.39548572	12	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA316_trim_adRm.fq.gz
AA317	32384	65109	49.73813144	30.4351165	4372	0.8335	50.69430532	13.11176599	62.0860531	12.86975466	13	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA317_trim_adRm.fq.gz
AA321	305	129444	0.235623127	0.051759834	41	0.118	27.26022305	16.68292813	62.53251731	13.22351868	4	43	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA321_trim_adRm.fq.gz
AA323	1105	2021390	0.054665354	0.025180692	115	0.6344	38.79950495	21.02183432	67.10992439	9.920898544	6	43	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA323_trim_adRm.fq.gz
AA326	1556	759986	0.204740614	0.0882911	51	0.6337	26.10701754	13.58902638	63.61143874	12.82411733	9	43	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA326_trim_adRm.fq.gz
AA328	943	324895	0.290247618	0.074485603	49	0.4995	24.17372881	10.82869451	64.16202562	13.32538163	11	43	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA328_trim_adRm.fq.gz
AA329	3792	802730	0.472387976	0.113736873	140	0.3064	22.09505703	7.579632669	56.86009546	15.15344467	12	43	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA329_trim_adRm.fq.gz
AA333	14394	400922	3.590224532	2.806281521	1007	0.8953	63.96416722	12.34739691	69.41727164	8.122896504	3	44	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA333_trim_adRm.fq.gz
AA335	3662	217846	1.681004012	1.013100998	237	0.8818	40.03464203	17.04137669	61.82091353	12.11488219	5	44	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA335_trim_adRm.fq.gz
AA350	755	122743	0.61510636	0.216712969	124	0.5669	29.50764526	14.28926953	62.69129706	11.56040684	6	45	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA350_trim_adRm.fq.gz
